Review Text,Review Stars,Restaurant Place,Creationdate
"Average experience, nothing to write home about.",4,Sheffield City Centre,2022-08-09 02:53:37.218490
"Service was slow, but the food was decent.",3,London Chelsea,2022-08-09 02:53:37.218490
Good meal but a bit overpriced.,3,London Soho,2022-08-09 02:53:37.218490
"Average experience, nothing to write home about.",3,Birmingham City Centre,2022-08-09 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,London Camden,2022-08-09 02:53:37.218490
"Service was slow, but the food was decent.",3,Birmingham Edgbaston,2022-08-09 02:53:37.218490
Good meal but a bit overpriced.,2,Glasgow City Centre,2022-08-10 02:53:37.218490
Good meal but a bit overpriced.,2,Leeds City Centre,2022-08-10 02:53:37.218490
"Service was slow, but the food was decent.",2,Birmingham Edgbaston,2022-08-10 02:53:37.218490
"Average experience, nothing to write home about.",3,Sheffield City Centre,2022-08-10 02:53:37.218490
"Decent food, but the service was lacking.",3,London Chelsea,2022-08-10 02:53:37.218490
"Decent food, but the service was lacking.",3,London Hackney,2022-08-10 02:53:37.218490
"Average experience, nothing to write home about.",2,London Canary Wharf,2022-08-11 02:53:37.218490
Good meal but a bit overpriced.,4,London Soho,2022-08-11 02:53:37.218490
"Service was slow, but the food was decent.",3,Cardiff Bay,2022-08-11 02:53:37.218490
Good meal but a bit overpriced.,3,Manchester Didsbury,2022-08-11 02:53:37.218490
"Service was slow, but the food was decent.",2,Edinburgh Old Town,2022-08-11 02:53:37.218490
Good meal but a bit overpriced.,4,London Camden,2022-08-11 02:53:37.218490
"Decent food, but the service was lacking.",3,London Camden,2022-08-12 02:53:37.218490
"Decent food, but the service was lacking.",2,Edinburgh Old Town,2022-08-12 02:53:37.218490
"Decent food, but the service was lacking.",3,Leeds Headingley,2022-08-12 02:53:37.218490
"Service was slow, but the food was decent.",2,Glasgow West End,2022-08-12 02:53:37.218490
"Decent food, but the service was lacking.",3,London Soho,2022-08-12 02:53:37.218490
"Average experience, nothing to write home about.",3,Sheffield City Centre,2022-08-12 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,London Hackney,2022-08-12 02:53:37.218490
"Average experience, nothing to write home about.",3,Bristol City Centre,2022-08-13 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,Edinburgh New Town,2022-08-13 02:53:37.218490
"Average experience, nothing to write home about.",3,Birmingham Edgbaston,2022-08-13 02:53:37.218490
"Average experience, nothing to write home about.",3,Liverpool City Centre,2022-08-14 02:53:37.218490
"Decent food, but the service was lacking.",3,Glasgow City Centre,2022-08-14 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Manchester Salford,2022-08-14 02:53:37.218490
"Service was slow, but the food was decent.",3,London Hackney,2022-08-14 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Birmingham City Centre,2022-08-14 02:53:37.218490
"Average experience, nothing to write home about.",3,Sheffield City Centre,2022-08-15 02:53:37.218490
"Average experience, nothing to write home about.",3,London Soho,2022-08-15 02:53:37.218490
"Average experience, nothing to write home about.",3,London Camden,2022-08-15 02:53:37.218490
"Decent food, but the service was lacking.",2,Bristol City Centre,2022-08-16 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,Edinburgh New Town,2022-08-16 02:53:37.218490
"Decent food, but the service was lacking.",4,Liverpool Anfield,2022-08-16 02:53:37.218490
"Service was slow, but the food was decent.",3,Cardiff City Centre,2022-08-16 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,Manchester Central,2022-08-16 02:53:37.218490
"Service was slow, but the food was decent.",4,Birmingham Edgbaston,2022-08-16 02:53:37.218490
"Average experience, nothing to write home about.",3,Birmingham Solihull,2022-08-17 02:53:37.218490
"Decent food, but the service was lacking.",3,London Hackney,2022-08-17 02:53:37.218490
"Decent food, but the service was lacking.",3,Manchester Salford,2022-08-17 02:53:37.218490
"Average experience, nothing to write home about.",3,Edinburgh Old Town,2022-08-17 02:53:37.218490
Good meal but a bit overpriced.,4,Birmingham City Centre,2022-08-18 02:53:37.218490
"Decent food, but the service was lacking.",2,Bristol Clifton,2022-08-18 02:53:37.218490
"Average experience, nothing to write home about.",3,London Canary Wharf,2022-08-19 02:53:37.218490
"Average experience, nothing to write home about.",4,London Camden,2022-08-19 02:53:37.218490
"Decent food, but the service was lacking.",3,Cardiff City Centre,2022-08-19 02:53:37.218490
"Average experience, nothing to write home about.",3,London Soho,2022-08-19 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Glasgow West End,2022-08-20 02:53:37.218490
Good meal but a bit overpriced.,4,Manchester Salford,2022-08-20 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,Sheffield Ecclesall Road,2022-08-20 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,Manchester Central,2022-08-21 02:53:37.218490
"Decent food, but the service was lacking.",4,Cardiff City Centre,2022-08-21 02:53:37.218490
"Decent food, but the service was lacking.",3,Manchester Didsbury,2022-08-21 02:53:37.218490
Good meal but a bit overpriced.,4,Edinburgh New Town,2022-08-21 02:53:37.218490
"Decent food, but the service was lacking.",2,London Soho,2022-08-21 02:53:37.218490
Good meal but a bit overpriced.,4,Manchester Didsbury,2022-08-21 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,London Chelsea,2022-08-21 02:53:37.218490
"Service was slow, but the food was decent.",3,Manchester Didsbury,2022-08-22 02:53:37.218490
"Average experience, nothing to write home about.",3,London Chelsea,2022-08-22 02:53:37.218490
"Decent food, but the service was lacking.",2,London Camden,2022-08-22 02:53:37.218490
"Service was slow, but the food was decent.",4,Liverpool Anfield,2022-08-22 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,London Camden,2022-08-23 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Glasgow City Centre,2022-08-23 02:53:37.218490
"Service was slow, but the food was decent.",4,London Canary Wharf,2022-08-23 02:53:37.218490
"Average experience, nothing to write home about.",4,Manchester Central,2022-08-23 02:53:37.218490
"Average experience, nothing to write home about.",4,Manchester Central,2022-08-24 02:53:37.218490
Good meal but a bit overpriced.,3,Cardiff Bay,2022-08-24 02:53:37.218490
"Decent food, but the service was lacking.",3,London Chelsea,2022-08-24 02:53:37.218490
"Decent food, but the service was lacking.",4,London Camden,2022-08-24 02:53:37.218490
"Average experience, nothing to write home about.",4,London Canary Wharf,2022-08-24 02:53:37.218490
"Service was slow, but the food was decent.",3,London Chelsea,2022-08-24 02:53:37.218490
"Service was slow, but the food was decent.",2,Leeds City Centre,2022-08-25 02:53:37.218490
Good meal but a bit overpriced.,4,Edinburgh Old Town,2022-08-25 02:53:37.218490
Good meal but a bit overpriced.,3,London Camden,2022-08-25 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Manchester Didsbury,2022-08-25 02:53:37.218490
"Decent food, but the service was lacking.",3,Birmingham Edgbaston,2022-08-25 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,Birmingham Solihull,2022-08-26 02:53:37.218490
"Service was slow, but the food was decent.",4,Cardiff City Centre,2022-08-26 02:53:37.218490
"Average experience, nothing to write home about.",4,Manchester Didsbury,2022-08-26 02:53:37.218490
"Average experience, nothing to write home about.",2,London Camden,2022-08-26 02:53:37.218490
"Decent food, but the service was lacking.",3,Sheffield City Centre,2022-08-27 02:53:37.218490
"Service was slow, but the food was decent.",3,London Chelsea,2022-08-27 02:53:37.218490
"Decent food, but the service was lacking.",2,Manchester Central,2022-08-27 02:53:37.218490
"Average experience, nothing to write home about.",3,Manchester Central,2022-08-27 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,London Camden,2022-08-27 02:53:37.218490
"Service was slow, but the food was decent.",3,London Hackney,2022-08-27 02:53:37.218490
Good meal but a bit overpriced.,3,Manchester Didsbury,2022-08-27 02:53:37.218490
"Decent food, but the service was lacking.",4,Manchester Central,2022-08-28 02:53:37.218490
"Average experience, nothing to write home about.",2,Birmingham Solihull,2022-08-28 02:53:37.218490
"Service was slow, but the food was decent.",3,Leeds City Centre,2022-08-28 02:53:37.218490
"Average experience, nothing to write home about.",2,Manchester Didsbury,2022-08-28 02:53:37.218490
"Average experience, nothing to write home about.",4,Birmingham Solihull,2022-08-29 02:53:37.218490
"Service was slow, but the food was decent.",3,Manchester Central,2022-08-29 02:53:37.218490
"Decent food, but the service was lacking.",2,London Soho,2022-08-29 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,London Hackney,2022-08-29 02:53:37.218490
Good meal but a bit overpriced.,3,London Hackney,2022-08-29 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,London Camden,2022-08-29 02:53:37.218490
Good meal but a bit overpriced.,3,London Hackney,2022-08-29 02:53:37.218490
"Average experience, nothing to write home about.",4,Manchester Salford,2022-08-29 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,London Canary Wharf,2022-08-30 02:53:37.218490
"Decent food, but the service was lacking.",3,Manchester Central,2022-08-30 02:53:37.218490
Good meal but a bit overpriced.,4,London Chelsea,2022-08-30 02:53:37.218490
"Average experience, nothing to write home about.",3,Manchester Didsbury,2022-08-31 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,Birmingham Edgbaston,2022-08-31 02:53:37.218490
"Decent food, but the service was lacking.",2,London Canary Wharf,2022-08-31 02:53:37.218490
"Average experience, nothing to write home about.",3,Liverpool City Centre,2022-08-31 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,London Soho,2022-08-31 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Bristol City Centre,2022-08-31 02:53:37.218490
"Decent food, but the service was lacking.",4,London Canary Wharf,2022-08-31 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Edinburgh Old Town,2022-08-31 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,Manchester Salford,2022-09-01 02:53:37.218490
Good meal but a bit overpriced.,3,Bristol City Centre,2022-09-01 02:53:37.218490
"Decent food, but the service was lacking.",4,London Camden,2022-09-01 02:53:37.218490
Good meal but a bit overpriced.,3,Cardiff City Centre,2022-09-01 02:53:37.218490
Good meal but a bit overpriced.,3,Manchester Central,2022-09-01 02:53:37.218490
"Decent food, but the service was lacking.",3,Manchester Salford,2022-09-01 02:53:37.218490
Good meal but a bit overpriced.,3,Birmingham Edgbaston,2022-09-02 02:53:37.218490
"Service was slow, but the food was decent.",2,London Hackney,2022-09-02 02:53:37.218490
Good meal but a bit overpriced.,2,London Canary Wharf,2022-09-02 02:53:37.218490
"Decent food, but the service was lacking.",2,Birmingham City Centre,2022-09-02 02:53:37.218490
"Service was slow, but the food was decent.",3,London Hackney,2022-09-02 02:53:37.218490
"Service was slow, but the food was decent.",3,Bristol City Centre,2022-09-03 02:53:37.218490
"Average experience, nothing to write home about.",4,London Camden,2022-09-03 02:53:37.218490
"Average experience, nothing to write home about.",4,Birmingham City Centre,2022-09-03 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Leeds Headingley,2022-09-03 02:53:37.218490
Good meal but a bit overpriced.,4,Cardiff City Centre,2022-09-04 02:53:37.218490
"Decent food, but the service was lacking.",3,London Camden,2022-09-04 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,Bristol City Centre,2022-09-04 02:53:37.218490
"Average experience, nothing to write home about.",3,London Camden,2022-09-04 02:53:37.218490
Good meal but a bit overpriced.,4,London Canary Wharf,2022-09-04 02:53:37.218490
"Service was slow, but the food was decent.",3,London Canary Wharf,2022-09-04 02:53:37.218490
"Average experience, nothing to write home about.",3,Edinburgh New Town,2022-09-04 02:53:37.218490
"Average experience, nothing to write home about.",3,Birmingham Solihull,2022-09-05 02:53:37.218490
"Decent food, but the service was lacking.",3,Birmingham Edgbaston,2022-09-05 02:53:37.218490
"Service was slow, but the food was decent.",3,Birmingham Solihull,2022-09-05 02:53:37.218490
"Average experience, nothing to write home about.",4,London Hackney,2022-09-05 02:53:37.218490
"Decent food, but the service was lacking.",3,London Canary Wharf,2022-09-05 02:53:37.218490
"Service was slow, but the food was decent.",2,London Chelsea,2022-09-05 02:53:37.218490
"Decent food, but the service was lacking.",2,Leeds City Centre,2022-09-06 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,London Canary Wharf,2022-09-06 02:53:37.218490
"Service was slow, but the food was decent.",2,London Hackney,2022-09-06 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,London Canary Wharf,2022-09-06 02:53:37.218490
Good meal but a bit overpriced.,3,London Soho,2022-09-06 02:53:37.218490
"Average experience, nothing to write home about.",3,London Soho,2022-09-06 02:53:37.218490
"Decent food, but the service was lacking.",3,London Soho,2022-09-06 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,London Soho,2022-09-07 02:53:37.218490
"Decent food, but the service was lacking.",3,London Soho,2022-09-07 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,London Chelsea,2022-09-07 02:53:37.218490
"Average experience, nothing to write home about.",4,Bristol City Centre,2022-09-07 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,London Canary Wharf,2022-09-07 02:53:37.218490
"Decent food, but the service was lacking.",4,London Canary Wharf,2022-09-07 02:53:37.218490
"Decent food, but the service was lacking.",2,Manchester Central,2022-09-07 02:53:37.218490
"Service was slow, but the food was decent.",3,Manchester Central,2022-09-07 02:53:37.218490
Good meal but a bit overpriced.,4,Liverpool City Centre,2022-09-08 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,London Soho,2022-09-08 02:53:37.218490
"Decent food, but the service was lacking.",2,London Hackney,2022-09-08 02:53:37.218490
"Decent food, but the service was lacking.",2,London Soho,2022-09-08 02:53:37.218490
Good meal but a bit overpriced.,4,Manchester Central,2022-09-09 02:53:37.218490
"Service was slow, but the food was decent.",4,London Camden,2022-09-09 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Sheffield City Centre,2022-09-09 02:53:37.218490
"Service was slow, but the food was decent.",2,Liverpool Anfield,2022-09-09 02:53:37.218490
"Decent food, but the service was lacking.",3,Glasgow West End,2022-09-10 02:53:37.218490
"Decent food, but the service was lacking.",4,Cardiff Bay,2022-09-10 02:53:37.218490
"Service was slow, but the food was decent.",2,London Hackney,2022-09-10 02:53:37.218490
"Average experience, nothing to write home about.",3,London Canary Wharf,2022-09-10 02:53:37.218490
"Service was slow, but the food was decent.",3,Manchester Didsbury,2022-09-10 02:53:37.218490
"Service was slow, but the food was decent.",2,Glasgow West End,2022-09-11 02:53:37.218490
Good meal but a bit overpriced.,3,London Canary Wharf,2022-09-11 02:53:37.218490
"Decent food, but the service was lacking.",3,Manchester Central,2022-09-11 02:53:37.218490
"Average experience, nothing to write home about.",3,Sheffield City Centre,2022-09-11 02:53:37.218490
"Decent food, but the service was lacking.",2,Manchester Didsbury,2022-09-11 02:53:37.218490
"Average experience, nothing to write home about.",3,Leeds City Centre,2022-09-11 02:53:37.218490
"Average experience, nothing to write home about.",4,Birmingham Solihull,2022-09-11 02:53:37.218490
"Service was slow, but the food was decent.",2,Manchester Didsbury,2022-09-11 02:53:37.218490
Good meal but a bit overpriced.,2,Birmingham Edgbaston,2022-09-12 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,Manchester Central,2022-09-12 02:53:37.218490
"Decent food, but the service was lacking.",2,Liverpool Anfield,2022-09-12 02:53:37.218490
"Average experience, nothing to write home about.",3,Manchester Didsbury,2022-09-13 02:53:37.218490
"Service was slow, but the food was decent.",3,Sheffield Ecclesall Road,2022-09-13 02:53:37.218490
"Decent food, but the service was lacking.",3,Manchester Didsbury,2022-09-13 02:53:37.218490
"Average experience, nothing to write home about.",3,Sheffield Ecclesall Road,2022-09-14 02:53:37.218490
"Decent food, but the service was lacking.",3,Birmingham City Centre,2022-09-14 02:53:37.218490
"Service was slow, but the food was decent.",4,Manchester Central,2022-09-14 02:53:37.218490
Good meal but a bit overpriced.,4,London Soho,2022-09-15 02:53:37.218490
"Decent food, but the service was lacking.",3,London Canary Wharf,2022-09-15 02:53:37.218490
"Decent food, but the service was lacking.",3,Cardiff City Centre,2022-09-15 02:53:37.218490
"Decent food, but the service was lacking.",4,Liverpool Anfield,2022-09-16 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Manchester Didsbury,2022-09-16 02:53:37.218490
"Service was slow, but the food was decent.",2,London Chelsea,2022-09-16 02:53:37.218490
"Service was slow, but the food was decent.",2,London Hackney,2022-09-16 02:53:37.218490
"Decent food, but the service was lacking.",4,London Canary Wharf,2022-09-16 02:53:37.218490
Good meal but a bit overpriced.,4,Leeds Headingley,2022-09-16 02:53:37.218490
"Average experience, nothing to write home about.",2,Birmingham City Centre,2022-09-17 02:53:37.218490
Good meal but a bit overpriced.,4,London Camden,2022-09-17 02:53:37.218490
"Average experience, nothing to write home about.",4,Manchester Salford,2022-09-17 02:53:37.218490
Good meal but a bit overpriced.,3,London Soho,2022-09-17 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Manchester Central,2022-09-17 02:53:37.218490
Good meal but a bit overpriced.,4,Manchester Didsbury,2022-09-17 02:53:37.218490
"Service was slow, but the food was decent.",2,Birmingham Solihull,2022-09-18 02:53:37.218490
"Service was slow, but the food was decent.",3,London Canary Wharf,2022-09-18 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,London Canary Wharf,2022-09-18 02:53:37.218490
"Service was slow, but the food was decent.",3,London Camden,2022-09-18 02:53:37.218490
"Service was slow, but the food was decent.",4,London Camden,2022-09-18 02:53:37.218490
"Decent food, but the service was lacking.",2,Manchester Salford,2022-09-18 02:53:37.218490
"Decent food, but the service was lacking.",4,London Hackney,2022-09-19 02:53:37.218490
"Service was slow, but the food was decent.",4,Birmingham Edgbaston,2022-09-19 02:53:37.218490
Good meal but a bit overpriced.,3,Manchester Didsbury,2022-09-19 02:53:37.218490
Good meal but a bit overpriced.,4,London Chelsea,2022-09-19 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,Leeds Headingley,2022-09-19 02:53:37.218490
"Average experience, nothing to write home about.",2,London Canary Wharf,2022-09-19 02:53:37.218490
"Service was slow, but the food was decent.",4,Birmingham City Centre,2022-09-19 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Liverpool Anfield,2022-09-19 02:53:37.218490
"Average experience, nothing to write home about.",4,Glasgow City Centre,2022-09-19 02:53:37.218490
Good meal but a bit overpriced.,3,London Chelsea,2022-09-20 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Birmingham Solihull,2022-09-20 02:53:37.218490
"Service was slow, but the food was decent.",3,Sheffield City Centre,2022-09-20 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,London Chelsea,2022-09-20 02:53:37.218490
"Service was slow, but the food was decent.",4,Birmingham Solihull,2022-09-20 02:53:37.218490
"Decent food, but the service was lacking.",3,Manchester Central,2022-09-20 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,London Hackney,2022-09-21 02:53:37.218490
Good meal but a bit overpriced.,3,Liverpool Anfield,2022-09-21 02:53:37.218490
"Service was slow, but the food was decent.",3,London Chelsea,2022-09-21 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,London Hackney,2022-09-21 02:53:37.218490
"Decent food, but the service was lacking.",3,London Hackney,2022-09-21 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Cardiff City Centre,2022-09-21 02:53:37.218490
"Service was slow, but the food was decent.",3,Liverpool City Centre,2022-09-22 02:53:37.218490
"Service was slow, but the food was decent.",4,Liverpool City Centre,2022-09-22 02:53:37.218490
Good meal but a bit overpriced.,2,Birmingham Solihull,2022-09-22 02:53:37.218490
Good meal but a bit overpriced.,2,Glasgow West End,2022-09-23 02:53:37.218490
"Average experience, nothing to write home about.",2,Cardiff City Centre,2022-09-23 02:53:37.218490
"Decent food, but the service was lacking.",2,Manchester Salford,2022-09-23 02:53:37.218490
"Decent food, but the service was lacking.",3,Leeds Headingley,2022-09-24 02:53:37.218490
"Service was slow, but the food was decent.",3,Leeds Headingley,2022-09-24 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Glasgow West End,2022-09-24 02:53:37.218490
Good meal but a bit overpriced.,4,London Hackney,2022-09-24 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,London Hackney,2022-09-24 02:53:37.218490
"Decent food, but the service was lacking.",2,London Camden,2022-09-24 02:53:37.218490
"Decent food, but the service was lacking.",3,Cardiff Bay,2022-09-25 02:53:37.218490
"Decent food, but the service was lacking.",3,Bristol City Centre,2022-09-25 02:53:37.218490
"Average experience, nothing to write home about.",3,London Canary Wharf,2022-09-25 02:53:37.218490
"Decent food, but the service was lacking.",3,Edinburgh Old Town,2022-09-25 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,Birmingham Solihull,2022-09-25 02:53:37.218490
Good meal but a bit overpriced.,2,Edinburgh Old Town,2022-09-26 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,London Hackney,2022-09-26 02:53:37.218490
"Average experience, nothing to write home about.",2,Birmingham Solihull,2022-09-26 02:53:37.218490
"Service was slow, but the food was decent.",2,London Camden,2022-09-26 02:53:37.218490
"Service was slow, but the food was decent.",2,Liverpool City Centre,2022-09-27 02:53:37.218490
Good meal but a bit overpriced.,3,Sheffield City Centre,2022-09-27 02:53:37.218490
"Decent food, but the service was lacking.",4,Edinburgh New Town,2022-09-27 02:53:37.218490
"Food was okay, but the place was quite dirty.",4,Birmingham Solihull,2022-09-28 02:53:37.218490
"Decent food, but the service was lacking.",4,Cardiff Bay,2022-09-28 02:53:37.218490
"Decent food, but the service was lacking.",3,Birmingham Edgbaston,2022-09-28 02:53:37.218490
Good meal but a bit overpriced.,3,Manchester Salford,2022-09-28 02:53:37.218490
Good meal but a bit overpriced.,2,Manchester Didsbury,2022-09-28 02:53:37.218490
"Average experience, nothing to write home about.",3,London Soho,2022-09-29 02:53:37.218490
"Average experience, nothing to write home about.",3,London Hackney,2022-09-29 02:53:37.218490
"Decent food, but the service was lacking.",4,London Chelsea,2022-09-29 02:53:37.218490
Good meal but a bit overpriced.,3,London Soho,2022-09-29 02:53:37.218490
"Decent food, but the service was lacking.",3,Liverpool Anfield,2022-09-29 02:53:37.218490
"Average experience, nothing to write home about.",4,Manchester Central,2022-09-29 02:53:37.218490
"Decent food, but the service was lacking.",3,London Soho,2022-09-30 02:53:37.218490
"Decent food, but the service was lacking.",4,Leeds City Centre,2022-09-30 02:53:37.218490
"Service was slow, but the food was decent.",3,Birmingham Solihull,2022-09-30 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,Glasgow City Centre,2022-09-30 02:53:37.218490
Good meal but a bit overpriced.,4,London Chelsea,2022-10-01 02:53:37.218490
"Decent food, but the service was lacking.",2,Manchester Central,2022-10-01 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,London Hackney,2022-10-01 02:53:37.218490
"Service was slow, but the food was decent.",2,Bristol Clifton,2022-10-01 02:53:37.218490
"Food was okay, but the place was quite dirty.",3,Birmingham Solihull,2022-10-02 02:53:37.218490
"Service was slow, but the food was decent.",3,London Chelsea,2022-10-02 02:53:37.218490
"Decent food, but the service was lacking.",2,London Canary Wharf,2022-10-02 02:53:37.218490
Good meal but a bit overpriced.,2,London Soho,2022-10-02 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,London Camden,2022-10-02 02:53:37.218490
Good meal but a bit overpriced.,4,Manchester Didsbury,2022-10-02 02:53:37.218490
"Service was slow, but the food was decent.",4,Manchester Didsbury,2022-10-02 02:53:37.218490
Good meal but a bit overpriced.,3,Liverpool Anfield,2022-10-03 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,Bristol City Centre,2022-10-03 02:53:37.218490
"Decent food, but the service was lacking.",3,Manchester Salford,2022-10-03 02:53:37.218490
"Food was okay, but the place was quite dirty.",2,London Hackney,2022-10-03 02:53:37.218490
